State Name,District Name,Market Name,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date,Year,Month,Day,DayOfWeek,WeekOfYear,Quarter,Price_Spread,Price_Ratio
Jharkhand,Deogarh,Madhupur,Beverages,0.06,13500,14000,14000,2008-11-20,2008,11,20,3,47,4,500,1.037037037037037
Jharkhand,Deogarh,Madhupur,Beverages,0.06,13500,14000,14000,2008-11-21,2008,11,21,4,47,4,500,1.037037037037037
Jharkhand,Deogarh,Madhupur,Beverages,0.06,14500,15000,15000,2008-11-21,2008,11,21,4,47,4,500,1.0344827586206897
Jharkhand,Deogarh,Madhupur,Beverages,0.05,14500,15000,15000,2008-11-22,2008,11,22,5,47,4,500,1.0344827586206897
Jharkhand,Deogarh,Madhupur,Beverages,0.05,13500,14000,14000,2008-11-22,2008,11,22,5,47,4,500,1.037037037037037
Jharkhand,Deogarh,Madhupur,Beverages,0.05,13500,14000,14000,2008-11-24,2008,11,24,0,48,4,500,1.037037037037037
Jharkhand,Deogarh,Madhupur,Beverages,0.05,14500,15000,15000,2008-11-24,2008,11,24,0,48,4,500,1.0344827586206897
Jharkhand,Deogarh,Madhupur,Beverages,0.06,14500,15000,15000,2008-11-25,2008,11,25,1,48,4,500,1.0344827586206897
Jharkhand,Deogarh,Madhupur,Beverages,0.06,13500,14000,14000,2008-11-25,2008,11,25,1,48,4,500,1.037037037037037
Jharkhand,Deogarh,Madhupur,Beverages,0.06,13500,14000,14000,2008-11-26,2008,11,26,2,48,4,500,1.037037037037037
Jharkhand,Deogarh,Madhupur,Beverages,0.06,14500,15000,15000,2008-11-26,2008,11,26,2,48,4,500,1.0344827586206897
Jharkhand,Deogarh,Madhupur,Beverages,0.05,14500,15000,15000,2008-11-27,2008,11,27,3,48,4,500,1.0344827586206897
